rstrnt_no,rstrnt_name,star,loc,loc_dtl,catg,catg_dtl,catag_no,tel,opn_tm,brck_tm,dnnr_tm,lo_tm
0000000000000002,고료리 켄,-2,강남구,"강남구 언주로 174길 30, 1층 101호",일식,일식,13,02-511-7809,18:00,0:00,0:00,21:30
0000000000000029,모모야마,-2,중구,"중구 을지로 30, 롯데호텔 38층",일식,일식,13,02-317-7031,11:30,14:00,18:00,21:30
0000000000000058,스시조,-2,중구,"중구 소공로 106, 웨스틴 조선 호텔 20층",일식,일식,13,02-317-0373,12:00,14:30,17:30,21:30
0000000000000081,카덴,-2,서대문구,서대문구 연희로 173 2층,일식,일식,13,02-3142-6362,11:30,14:00,17:30,21:00
0000000000000097,하코네,-2,강남구,"강남구 테헤란로 521, 그랜드 인터컨티넨탈 파르나스 호텔 1층",일식,일식,13,02-559-7623,11:30,14:00,18:00,21:30
0000000000000011,도림,-2,중구,"중구 을지로 30, 롯데호텔 37층",중식,중식,14,02-317-7101,11:30,14:00,18:00,21:30
0000000000000034,백리향,-2,영등포구,"영등포구 63로 50, 63빌딩 57층",중식,중식,14,02-789-5741,11:30,14:00,17:30,21:00
0000000000000073,웨이루,-2,강남구,"강남구 테헤란로 521, 그랜드 인터컨티넨탈 파르나스 호텔 34층",중식,중식,14,02-559-7620,12:00,14:30,18:00,21:30
0000000000000085,크리스탈 제이드,-2,중구,"중구 남대문로 7길 16, 지하 1층",중식,중식,14,02-3789-8088,11:30,14:30,17:00,21:30
0000000000000099,홍보각,-2,중구,"중구 동호로 287, 그랜드 앰배서더 풀만 호텔 2층",중식,중식,14,02-2270-3141,12:00,14:30,18:00,21:30
0000000000000100,홍연,-2,중구,"중구 소공로 106, 웨스틴 조선 호텔 1층",중식,중식,14,02-317-0494,12:00,14:30,18:00,21:30
0000000000000127,산동 교자관,-1,강남구,강남구 압구정로 214,중식,중식,14,02-514-2608,12:00,13:30,17:30,21:00
0000000000000172,유 유안,1,종로구,"종로구 새문안로 97, 포시즌스 호텔 11층",중식,중식,14,02-6388-5500,11:30,14:15,17:30,21:15
0000000000000176,진진,1,마포구,마포구 잔다리로 123,중식,중식,14,070-5035-8878,17:00,0:00,0:00,23:00
0000000000000108,금산 제면소,-1,중구,중구 소공로 6길 13,중식,중식,14,NULL,11:00,13:45,16:00,19:45
0000000000000007,곳간,-2,영등포구,"영등포구 여의대로 24, 전경련 회관 50층",한식,한식,16,02-2055-4447,12:00,13:30,18:00,20:00
0000000000000009,달 식탁,-2,강남구,"강남구 도산대로 15길 11, 지하 1층",한식,한식,16,02-511-9440,11:30,14:00,16:00,21:30
0000000000000014,두레유,-2,종로구,종로구 북촌로 65,한식,한식,16,02-743-2468,11:30,14:00,17:30,20:30
0000000000000030,무궁화,-2,중구,"중구 을지로 30, 롯데호텔 38층",한식,한식,16, 02-317-7061,11:30,13:30,18:00,21:00
0000000000000032,민스 키친,-2,강남구,"강남구 도산대로 45길 10-4, 지하 1층",한식,한식,16,02-544-1007,11:30,14:00,17:30,21:00
0000000000000047,서교고메,-2,마포구,마포구 월드컵로 14길 19,한식,한식,16,02-332-3626,12:00,14:30,18:00,22:00
0000000000000050,석파랑,-2,종로구,종로구 자하문로 309,한식,한식,16,02-395-2500,12:00,14:00,18:00,20:30
0000000000000062,안씨 막걸리,-2,용산구,용산구 회나무로 13가길 61,한식,한식,16, 010-9965-5112,18:00,0:00,0:00,0:00
0000000000000066,온달,-2,광진구,"광진구 워커힐로 177, 그랜드 워커힐 호텔 2층",한식,한식,16,02-450-4518,12:00,14:30,18:00,21:30
0000000000000068,용수산,-2,종로구,종로구 창덕궁 1길 2,한식,한식,16,02-743-5999,12:00,14:30,18:00,20:30
0000000000000096,하모,-2,강남구,"강남구 언주로 819, 2층",한식,한식,16,02-515-4266,11:30,14:30,17:00,21:00
0000000000000098,할머니의 레시피,-2,성동구,성동구 서울숲 6길 15-1,한식,한식,16,02-467-5101,11:30,14:30,17:00,21:00
0000000000000109,"꽃, 밥에피다",-1,종로구,종로구 인사동 16길 3-6,한식,한식,16,02-732-0276,11:30,14:30,17:30,21:00
0000000000000126,북막골,-1,종로구,종로구 삼청로 124-6,한식,한식,16,02-730-0980,11:00,0:00,0:00,20:30
0000000000000137,오통영,-1,강남구,"강남구 선릉로 158길 10, 지하 1층",한식,한식,16,02-544-2377,11:30,14:30,17:00,22:00
0000000000000145,일호식,-1,용산구,용산구 대사관로 35,한식,한식,16,02-794-2648,11:00,15:30,18:00,21:30
0000000000000154,페스타 다이닝,-1,중구,"중구 장충단로 60, 반얀트리 클럽 앤 스파",한식,한식,16,02-2250-8170,11:30,14:30,18:00,21:30
0000000000000157,한일관,-1,강남구,강남구 압구정로 38길 14,한식,한식,16,02-732-3735,11:30,0:00,0:00,21:00
0000000000000169,비채나,1,송파구,"송파구 올림픽로 300, 롯데월드 타워 81층",한식,한식,16,02-3213-1260,11:30,13:15,18:00,20:00
0000000000000173,이종국 104,1,성북구,성북구 성북로 95-1,한식,한식,16,02-747-0104,11:30,14:30,17:30,20:30
0000000000000178,품,1,용산구,"용산구 두텁바위로 60길 49, 대원정사 별관 3층",한식,한식,16,02-777-9007,12:00,13:30,18:00,20:00
0000000000000179,한식 공간,1,종로구,"종로구 율곡로 83번지, 아라리오 스페이스 4층",한식,한식,16,02-747-8104,12:00,14:00,18:00,20:00
0000000000000180,권숙수,2,강남구,"강남구 압구정로 80길 37, 4층",한식,한식,16,02-542-6268,12:00,13:30,18:00,20:00
0000000000000185,가온,3,강남구,"강남구 도산대로 317, 호림아트센터 M층",한식,한식,16,02-545-9845,17:30,0:00,0:00,20:30
0000000000000186,라연,3,중구,"중구 동호로 249, 신라호텔 23층",한식,한식,16,02-2230-3367,12:00,14:00,18:00,21:00
0000000000000023,롱 침,-2,마포구,"마포구 양화로 130, 라이즈 호텔 4층",아시아,타이,1101,02-330-7800,12:00,14:30,18:00,21:30
0000000000000051,수아 에피스,-2,강남구,강남구 도산대로 56길 8,아시아,타이,1101,02-548-2191,11:30,14:00,17:30,21:00
0000000000000084,쿤쏨차이,-2,서초구,서초구 서초대로 53길 23,아시아,타이,1101,02-596-6411,11:30,14:00,17:00,21:00
0000000000000152,툭툭 누들 타이,-1,마포구,마포구 성미산로 161-8,아시아,타이,1101,070-4407-5130,14:00,0:00,0:00,22:00
0000000000000076,주반,-2,종로구,종로구 사직로 9가길 12,아시아,아시안,1102,02-3210-3737,18:00,0:00,0:00,0:00
0000000000000140,우육미엔,-1,용산구,용산구 이태원로 55가길 26-8,아시아,타이완,1103,02-798-5556,11:00,0:00,0:00,21:00
0000000000000003,고메트리,-2,성동구,"성동구 금호로 17, 서울숲 2차 푸르지오 상가 123호",양식,프렌치,1201,02-2299-0572,11:00,14:00,18:00,20:30
0000000000000005,그랑 아무르,-2,용산구,"용산구 한남대로 20길 47-24, 리플레이스 D동 지하 1층",양식,프렌치,1201,02-790-0814,12:00,14:00,18:00,22:00
0000000000000006,꼼 모아,-2,용산구,용산구 신흥로 56,양식,프렌치,1201,02-6217-5252,12:00,14:00,18:00,22:30
0000000000000008,나인스 게이트,-2,중구,"중구 소공로 106, 웨스틴 조선 호텔 1층",양식,프렌치,1201,02-317-0366,11:30,14:30,18:00,23:30
0000000000000019,랑빠스 81,-2,마포구,마포구 동교로 30길 17-1,양식,프렌치,1201,070-7779-8181,12:00,14:30,17:00,23:00
0000000000000020,렁팡스,-2,성동구,성동구 연무장길 106,양식,프렌치,1201,02-465-7117,12:00,14:00,18:00,21:00
0000000000000022,레스쁘아 뒤 이부,-2,강남구,강남구 도산대로 59길 16,양식,프렌치,1201,02-517-6034,12:00,14:00,18:00,21:00
0000000000000024,루이 쌍끄,-2,강남구,"강남구 선릉로 157길 33, 2층",양식,프렌치,1201,02-547-1259,18:00,0:00,0:00,0:00
0000000000000028,메종 드 라 카테고리,-2,강남구,강남구 선릉로 826,양식,프렌치,1201,02-545-6640,11:00,15:00,17:30,20:30
0000000000000045,비스트로 드 욘트빌,-2,강남구,강남구 선릉로 158길 13-7,양식,프렌치,1201,02-541-1550,11:30,14:00,18:00,21:00
0000000000000061,시옷,-2,강남구,"강남구 도산대로 92길 42, 지하 1층",양식,프렌치,1201,02-547-0467,11:30,13:30,18:00,20:30
0000000000000083,콘티넨탈,-2,중구,"중구 동호로 249, 신라호텔 23층",양식,프렌치,1201,02-2230-3369,12:00,14:00,18:00,21:30
0000000000000086,태번 38,-2,서초구,서초구 명달로 22길 12-12,양식,프렌치,1201,02-522-3738,12:00,14:00,17:30,21:00
0000000000000087,테이블 34,-2,강남구,"강남구 테헤란로 521, 그랜드 인터컨티넨탈 파르나스 호텔 34층",양식,프렌치,1201,02-559-7631,12:00,14:00,18:00,21:30
0000000000000092,파씨오네,-2,강남구,"강남구 언주로 164길 39, 2층",양식,프렌치,1201,02-546-7719,12:00,14:00,18:00,20:30
0000000000000093,팔레 드 고몽,-2,강남구,강남구 도산대로 81길 21,양식,프렌치,1201,02-546-8877,18:00,0:00,0:00,21:00
0000000000000165,라미띠에,1,강남구,"강남구 언주로 153길 7, 2층",양식,프렌치,1201,02-546-9621,12:00,13:30,18:00,20:30
0000000000000010,더 그린테이블,-2,강남구,"강남구 선릉로 155길 13, 2층",양식,프렌치 컨템포러리,1202, 02-591-2672,12:00,13:30,18:00,20:00
0000000000000064,오프레,-2,서초구,서초구 반포대로 4길 12,양식,프렌치 컨템포러리,1202,070-5025-3837,12:00,13:30,18:00,21:00
0000000000000077,줄라이,-2,서초구,서초구 동광로 164,양식,프렌치 컨템포러리,1202,02-534-9544,12:00,13:30,18:00,20:30
0000000000000089,톡 톡,-2,강남구,"강남구 도산대로 51길 33, 3층",양식,프렌치 컨템포러리,1202,02-542-3030,12:00,14:00,18:00,21:00
0000000000000163,다이닝 인 스페이스,1,종로구,"종로구 율곡로 83, 아라리오 스페이스 5층",양식,프렌치 컨템포러리,1202,02-747-8105,12:00,14:00,18:00,20:00
0000000000000171,스테이,1,송파구,"송파구 올림픽로 300, 롯데월드 타워 81층",양식,프렌치 컨템포러리,1202,02-3213-1231,11:30,14:00,18:00,21:30
0000000000000016,뚜또 베네,-2,강남구,강남구 압구정로 77길 5,양식,이탤리언,1203,02-546-1489,12:00,13:30,18:00,21:00
0000000000000017,라 모라,-2,서초구,"서초구 동광로 39길 50, 2층",양식,이탤리언,1203,02-595-3997,11:30,13:50,18:00,21:00
0000000000000018,라 쿠치나,-2,용산구,용산구 회나무로 44길 10,양식,이탤리언,1203,02-794-6005,12:00,14:00,18:00,21:00
0000000000000038,보나세라,-2,강남구,강남구 도산대로 45길 18-2,양식,이탤리언,1203,02-543-6668,11:30,14:00,18:00,21:00
0000000000000040,보칼리노,-2,종로구,"종로구 새문안로 97, 포시즌스 호텔 2층",양식,이탤리언,1203,02-6388-5500,11:30,14:15,17:30,21:15
0000000000000042,볼피노,-2,강남구,강남구 도산대로 45길 10-7,양식,이탤리언,1203,010-2249-1571,12:00,14:00,18:00,21:00
0000000000000044,브레라,-2,중구,"중구 동호로 17길 295, 2층",양식,이탤리언,1203,02-2236-0770,11:00,0:00,0:00,21:45
0000000000000049,서촌김씨,-2,종로구,종로구 자하문로 16길 4,양식,이탤리언,1203,02-730-7787,12:00,13:00,18:00,19:30
0000000000000063,오만지아,-2,용산구,용산구 유엔 빌리지길 14,양식,이탤리언,1203,02-749-2900,12:00,14:00,18:00,23:30
0000000000000075,이태리재,-2,종로구,종로구 율곡로 1길 74-9,양식,이탤리언,1203,070-4233-6262,12:00,14:00,18:00,20:30
0000000000000090,트라토리아 몰토,-2,마포구,마포구 월드컵북로 332-12,양식,이탤리언,1203,02-303-1022,12:00,14:00,18:00,21:00
0000000000000091,파스토,-2,강남구,강남구 도산대로 62길 17,양식,이탤리언,1203,02-515-6878,12:00,14:30,17:30,21:40
0000000000000153,팩피,-1,성동구,성동구 왕십리로 136,양식,이탤리언 컨템퍼러리,1204,02-6052-7595,11:00,14:00,18:00,21:00
0000000000000012,도우룸,-2,서초구,"서초구 동광로 99, 2층",양식,이탤리언 컨템포러리,1204,02-535-9386,11:30,14:00,18:00,21:00
0000000000000026,리스토란테 에오,-2,강남구,"강남구 도산대로 75길 15, 5층",양식,이탤리언 컨템포러리,1204,02-3445-1926,12:00,13:00,18:00,20:00
0000000000000015,떼레노,-2,종로구,"종로구 북촌로 71, 2층",양식,스패니시,1205,02-332-5525,12:00,14:00,17:30,20:30
0000000000000041,볼트 스테이크하우스,-2,강남구,"강남구 압구정로 72길 22, 2층",양식,스테이크,1206,02-544-9235,12:00,14:00,18:00,21:30
0000000000000060,스테이크 하우스,-2,용산구,"용산구 소월로 322, 그랜드 하얏트 호텔 지하 1층",양식,스테이크,1206,02-799-8273,12:00,14:00,18:00,21:30
0000000000000013,두가헌,-2,종로구,종로구 삼청로 14,양식,유러피안 컨템포러리,1207,02-3210-2100,12:00,13:30,18:00,20:30
0000000000000177,테이블 포 포,1,서초구,"서초구 사평대로 14길 11, 2층",양식,유러피안 컨템포러리,1207,02-3478-0717,12:00,14:00,18:00,21:00
0000000000000052,슈밍화 미코,-2,강남구,강남구 도산대로 85길 14,일식,재패니즈 컨템퍼러리,1301,02-3446-1227,11:30,13:50,18:00,21:00
0000000000000053,스시 마이,-2,강남구,"강남구 언주로 168길 6, 2층",일식,스시,1302,02-6925-3126,12:00,15:00,17:30,21:00
0000000000000054,스시 선수,-2,강남구,"강남구 도산대로 45길 6, 호림아트센터 2 M층",일식,스시,1302,02-514-0812,12:00,14:00,18:00,20:00
0000000000000055,스시 초희,-2,강남구,강남구 도산대로 45길 18-6,일식,스시,1302,02-545-8422,12:00,14:00,18:00,21:00
0000000000000056,스시만,-2,서초구,서초구 동광로 27길 3,일식,스시,1302,02-533-0181,12:00,13:30,18:00,20:00
0000000000000057,스시인,-2,강남구,"강남구 압구정로 42길 49, 3층",일식,스시,1302,02-543-7636,17:00,0:00,0:00,21:00
0000000000000059,스시효,-2,강남구,강남구 선릉로 146길 25,일식,스시,1302,02-545-0023,12:00,13:30,18:00,20:30
0000000000000071,우오,-2,강남구,"강남구 도산대로 45길, 18-10",일식,스시,1302,02-518-4224,12:00,13:30,18:00,20:30
0000000000000151,타쿠미 곤,-1,서초구,"서초구 사평대로 98, 2층",일식,스시,1302,02-595-1935,12:00,13:30,18:00,20:30
0000000000000184,코지마,2,강남구,"강남구 압구정로 60길 21, 분더샵 6층",일식,스시,1302,02-2056-1291,12:00,13:00,18:00,20:00
0000000000000120,미진,-1,종로구,"종로구 종로 19, 르메이에르 종로타운 117호",한식,메밀 국수,1303,02-732-1954,10:00,0:00,0:00,21:30
0000000000000131,양양 메밀 막국수,-1,서초구,서초구 동광로 15길 10,한식,메밀 국수,1303,02-3482-3738,11:00,0:00,0:00,21:00
0000000000000141,유림면,-1,중구,중구 서소문로 139-1,한식,메밀 국수,1303,02-755-0659,11:00,0:00,0:00,21:30
0000000000000074,이치류,-2,마포구,마포구 잔다리로 3안길 44,일식,바비큐,1303,02-3144-1312,17:00,0:00,0:00,22:00
0000000000000106,교양식사,-1,용산구,용산구 이태원로 238,일식,바비큐,1303,02-795-4040,17:00,0:00,0:00,23:00
0000000000000088,테판,-2,용산구,"용산구 소월로 322, 그랜드 하얏트 호텔 LL층",일식,테판야끼,1304,02-799-8272,12:00,14:00,18:00,21:00
0000000000000118,미나미,-1,서초구,서초구 서초대로 58길 31-2,일식,소바,1305,02-522-0373,11:30,14:30,17:30,20:00
0000000000000119,미미면가,-1,강남구,강남구 강남대로 160길 29,일식,소바,1305,070-4211-5466,11:30,14:30,17:00,21:00
0000000000000130,스바루,-1,마포구,마포구 신촌로 16길 34,일식,소바,1305,02-336-4860,11:30,14:30,17:30,20:30
0000000000000135,오레노 라멘,-1,마포구,마포구 독막로 6길 14,일식,라멘,1306,02-322-3539,11:30,14:40,17:00,21:00
0000000000000105,교다이야,-1,마포구,마포구 성지길 39,일식,우동,1307,02-2654-2645,11:00,14:30,17:00,21:00
0000000000000142,이나니와 요스케,-1,중구,중구 을지로 6,일식,우동,1307,02-772-9994,11:00,13:40,17:00,21:50
0000000000000021,레드문,-2,용산구,"용산구 한남대로 20길 41-4, 지하 1층",중식,차이니즈 컨템포러리,1401,070-8865-3112,18:00,0:00,0:00,23:30
0000000000000025,류니끄,-2,강남구,강남구 강남대로 162길 40,퓨전,이노베이티브,1501,02-546-9279,12:00,14:00,18:00,20:00
0000000000000080,쵸이닷,-2,강남구,"강남구 도산대로 457, 3층",퓨전,이노베이티브,1501,02-518-0318,12:00,14:20,18:00,20:20
0000000000000095,플라워 차일드,-2,서초구,성초구 동광로 95,퓨전,이노베이티브,1501,02-553-2574,12:00,14:00,18:00,20:30
0000000000000164,도사,1,강남구,"강남구 도산대로 67길 7, 지하 1층",퓨전,이노베이티브,1501,02-516-3672,12:00,13:00,18:00,20:30
0000000000000166,모수,1,용산구,용산구 이태원로 55가길 45,퓨전,이노베이티브,1501,02-793-5995,17:30,0:00,0:00,21:00
0000000000000167,무오키,1,강남구,"강남구 학동로 55길 12-12, 2층",퓨전,이노베이티브,1501,010-2948-4171,12:00,13:30,18:00,20:00
0000000000000170,스와니예,1,서초구,"서초구 반포대로 39길 46, 지하 1층",퓨전,이노베이티브,1501,02-3477-9386,12:00,13:30,18:00,19:30
0000000000000174,익스퀴진,1,강남구,강남구 삼성로 140길 6,퓨전,이노베이티브,1501,02-542-6921,12:00,13:30,18:00,20:00
0000000000000182,알라 프리마,2,강남구,강남구 학동로 17길 13,퓨전,이노베이티브,1501,02-511-2555,12:00,13:00,18:00,20:00
0000000000000082,텅 앤 그루브 조인트,-2,용산구,용산구 보광로 60길 7,퓨전,바비큐,1502,02-790-7036,11:30,0:00,0:00,21:50
0000000000000078,진미 식당,-2,마포구,마포구 마포대로 186-6,한식,게장,1601,02-3211-4468,12:00,14:30,17:00,20:00
0000000000000101,화해당,-2,영등포구,"영등포구 국회대로 74길 20, 205호",한식,게장,1601,02-785-4422,11:00,14:30,16:00,20:30
0000000000000103,게방 식당,-1,강남구,강남구 선릉로 131길 17,한식,게장,1601,010-8479-1107,11:30,14:50,17:30,21:00
0000000000000159,합정옥,-1,마포구,"마포구 양화로 1길 21, 2층",한식,곰탕,1602,02-322-4822,11:00,0:00,0:00,20:30
0000000000000043,봉밀가,-2,강남구,강남구 선릉로 664,한식,냉면,1603,02-546-2305,11:30,14:50,17:00,20:40
0000000000000070,우래옥,-2,중구,중구 창경굴로 62-29,한식,냉면,1603,02-2265-0151,11:30,0:00,0:00,21:00
0000000000000094,평양 면옥,-2,중구,중구 장충단로 207,한식,냉면,1603,02-2267-7784,11:00,0:00,0:00,21:00
0000000000000110,남포면옥,-1,중구,중구 을지로 3길 24,한식,냉면,1603,02-777-3131,11:30,0:00,0:00,21:30
0000000000000111,능라도,-1,강남구,강남구 언주로 107길 7,한식,냉면,1603,02-569-8939,11:20,0:00,0:00,20:50
0000000000000124,봉피양,-1,송파구,송파구 양재대로 71길 1-4,한식,냉면,1603,02-415-5527,11:00,0:00,0:00,21:30
0000000000000136,오장동 함흥냉면,-1,중구,중구 마른내로 108,한식,냉면,1603,02-2267-9500,11:00,0:00,0:00,20:30
0000000000000148,정인면옥,-1,영등포구,영등포구 국회대로 76길 10,한식,냉면,1603,02-2683-2615,11:00,0:00,0:00,21:00
0000000000000149,진미 평양 냉면,-1,강남구,강남구 학동로 305-3,한식,냉면,1603,02-515-3469,11:00,0:00,0:00,21:10
0000000000000156,필동 면옥,-1,중구,중구 서애로 26,한식,냉면,1603,02-2266-2611,11:00,0:00,0:00,21:00
0000000000000112,대성집,-1,종로구,종로구 사직로 5,한식,도가니탕,1604,02-735-4259,9:00,0:00,0:00,20:30
0000000000000065,옥동식,-2,마포구,마포구 양화로 7길 44-10,한식,돼지국밥,1605,010-5571-9915,11:00,13:40,18:00,20:30
0000000000000104,광화문 국밥,-1,중구,중구 세종대로 21길 53,한식,돼지국밥,1605,02-738-5688,11:30,0:00,0:00,21:30
0000000000000122,백년옥,-1,서초구,서초구 남부순환로 2407,한식,두부,1606,02-523-2860,11:00,0:00,0:00,21:30
0000000000000155,피양콩 할머니,-1,강남구,강남구 삼성로 81길 30,한식,두부,1606,02-508-0476,11:30,0:00,0:00,22:00
0000000000000160,황금 콩밭,-1,마포구,마포구 굴레방로 1길 6,한식,두부,1606,02-313-2952,11:30,14:30,17:00,21:00
0000000000000102,개성만두 궁,-1,종로구,종로구 인사동 10길 11-3,한식,만두,1607,02-733-9240,11:30,0:00,0:00,20:00
0000000000000114,만두집,-1,강남구,강남구 압구정로 338,한식,만두,1607,02-544-3710,12:00,0:00,0:00,21:00
0000000000000123,봉산옥,-1,서초구,서초구 반포대로 8길 5-6,한식,만두,1607,02-525-2282,11:00,0:00,0:00,21:00
0000000000000147,자하 손만두,-1,종로구,종로구 백성동길 12,한식,만두,1607,02-379-2648,11:00,0:00,0:00,21:00
0000000000000162,구복 만두,1,용산구,용산구 두텁바위로 10,한식,만두,1607,02-797-8656,11:00,0:00,0:00,20:00
0000000000000004,곰바위,-2,강남구,강남구 영동대로 115길 10,한식,바비큐,1609,02-511-0068,11:00,0:00,0:00,22:30
0000000000000035,뱀부 하우스,-2,강남구,강남구 언주로 107길 33,한식,바비큐,1609,02-566-0870,11:30,13:30,17:30,21:30
0000000000000036,버드나무집,-2,서초구,서초구 효령로 434,한식,바비큐,1609,02-3473-4167,11:00,0:00,0:00,21:00
0000000000000037,벽제갈비,-2,송파구,송파구 양재대로 71길 1-4,한식,바비큐,1609,02-415-5522,11:30,0:00,0:00,21:00
0000000000000039,보름쇠,-2,강남구,강남구 테헤란로 81길 36,한식,바비큐,1609,02-569-9967,11:00,14:30,17:00,21:00
0000000000000046,삼원가든,-2,강남구,강남구 언주로 835,한식,바비큐,1609,02-548-3030,11:50,0:00,0:00,21:30
0000000000000069,우가,-2,강남구,"강남구 도산대로 49길 22, 지하 1층",한식,바비큐,1609,02-6272-2223,12:00,14:30,17:00,21:30
0000000000000072,우참판,-2,서초구,"서초구 서래로 23, 2츤",한식,바비큐,1609,02-537-5940,11:30,14:00,17:30,21:30
0000000000000107,금돼지 식당,-1,중구,중구 다산로 149,한식,바비큐,1609,02-2231-0561,12:00,0:00,0:00,1:00
0000000000000129,세미계,-1,용산구,용산구 대사관로 34,한식,바비큐,1609,02-792-2155,12:30,15:00,17:30,21:30
0000000000000134,오근내 닭갈비,-1,용산구,용산구 이촌로 29길 15,한식,바비큐,1609,02-797-0131,11:00,15:30,16:30,21:30
0000000000000143,이도 맨숀,-1,영등포구,영등포구 국회대로 794,한식,바비큐,1609,02-785-0909,11:30,14:00,17:00,21:00
0000000000000150,충무로 쭈꾸미 불고기,-1,중구,중구 퇴계로 31길 11,한식,바비큐,1609,02-2279-0803,12:00,0:00,0:00,21:00
0000000000000132,역전회관,-1,마포구,마포구 토정로 37길 47,한식,불고기,1610,02-703-0019,11:00,14:30,17:00,21:20
0000000000000168,발우공양,1,종로구,"종로구 우정국로 56, 템플스테이 빌딩 5층",한식,사찰음식,1611,02-733-2081,11:30,14:00,18:00,20:00
0000000000000001,고려 삼계탕,-2,중구,중구 서소문로 11 길 1,한식,삼계탕,1612,02-752-9376,11:00,0:00,0:00,21:00
0000000000000033,백년 토종 삼계탕,-2,종로구,종로구 북촌로 41,한식,삼계탕,1612,02-747-5535,10:00,0:00,0:00,20:00
0000000000000027,마포 양지 설렁탕,-2,마포구,마포구 새창로 6,한식,설렁탕,1613,02-716-8616,6:30,0:00,0:00,21:50
0000000000000067,외고집 설렁탕,-2,강남구,강남구 삼성로 555,한식,설렁탕,1613,02-567-5225,10:00,0:00,0:00,20:30
0000000000000113,마포옥,-1,마포구,"마포구 토정로 312, 2층",한식,설렁탕,1613,02-716-6661,7:00,0:00,0:00,21:30
0000000000000144,이문 설농탕,-1,종로구,종로구 우정국로 38-13,한식,설렁탕,1613,02-733-6526,8:00,0:00,0:00,21:00
0000000000000128,삼청동 수제비,-1,종로구,종로구 삼청로 101-1,한식,수제비,1614,02-735-2965,11:00,0:00,0:00,20:30
0000000000000125,부촌육회,-1,종로구,종로구 종로 200-12,한식,육회,1615,02-2267-1831,9:00,0:00,0:00,22:20
0000000000000115,만족 오향 족발,-1,중구,중구 서소문로 134-7,한식,족발,1616,02-753-4755,11:30,0:00,0:00,22:30
0000000000000133,오가네 족발,-1,강남구,강남구 논현로 36길 21,한식,족발,1616,02-575-6608,10:00,0:00,0:00,22:00
0000000000000158,할매집,-1,종로구,종로구 사직로 12길 1-5,한식,족발,1616,02-735-2608,12:00,0:00,0:00,21:30
0000000000000139,용금옥,-1,종로구,종로구 자하문로 41-2,한식,추어탕,1617,02-777-4749,11:30,14:30,17:00,21:30
0000000000000079,찬양집,-2,종로구,종로구 돈화문로 11 다길 5,한식,칼국수,1618,02-743-1384,10:00,0:00,0:00,20:30
0000000000000116,명동 교자,-1,중구,중구 명동 10길 29,한식,칼국수,1618,02-776-5348,10:30,0:00,0:00,21:30
0000000000000117,목천집,-1,서초구,서초구 효령로 52길 69,한식,칼국수,1618,02-525-8418,11:00,0:00,0:00,21:00
0000000000000121,밀본,-1,성동구,성동구 아차산로 67-16,한식,칼국수,1618,02-499-9801,11:00,0:00,0:00,21:00
0000000000000146,임병주 산동 칼국수,-1,서초구,서초구 강남대로 37길 63,한식,칼국수,1618,02-3473-7972,11:00,0:00,0:00,21:00
0000000000000161,황생가 칼국수,-1,종로구,종로구 북촌로 5길 78,한식,칼국수,1618,02-739-6334,11:00,0:00,0:00,20:45
0000000000000031,미쉬 매쉬,-2,용산구,용산구 이태원로 55가길 21,한식,코리안 컨템포러리,1619,02-6465-2211,11:30,14:00,18:00,21:00
0000000000000048,서울 다이닝,-2,중구,"중구 동호로 272, 웰콤시티 2층",한식,코리안 컨템포러리,1619,02-6325-6321,11:30,15:00,18:00,20:30
0000000000000138,옳음,-1,강남구,"강남구 압구정로 46길 51, 2층",한식,코리안 컨템포러리,1619,02-549-2016,12:00,14:00,18:00,20:00
0000000000000175,주옥,1,강남구,강남구 선릉로 148길 52-7,한식,코리안 컨템포러리,1619,02-518-9393,12:00,13:30,18:00,20:30
0000000000000181,밍글스,2,강남구,강남구 선릉로 757,한식,코리안 컨템포러리,1619,02-515-7306,12:00,13:30,18:00,20:00
0000000000000183,정식당,2,강남구,강남구 선릉로 158길 11,한식,코리안 컨템포러리,1619,02-517-4654,12:00,14:00,17:30,21:00